iter	Passed	Remaining
527	11786	3839
528	11810	3817
529	11837	3796
530	11860	3774
531	11881	3752
532	11904	3729
533	11923	3706
534	11942	3683
535	11962	3660
536	11983	3637
537	12008	3615
538	12034	3594
539	12058	3572
540	12076	3549
541	12106	3529
542	12124	3505
543	12149	3484
544	12168	3460
545	12189	3437
546	12207	3414
547	12235	3393
548	12258	3371
549	12276	3348
550	12296	3325
551	12315	3301
552	12337	3279
553	12356	3256
554	12376	3233
555	12401	3211
556	12430	3191
557	12457	3170
558	12479	3147
559	12497	3124
560	12518	3101
561	12537	3078
562	12558	3055
563	12578	3033
564	12596	3009
565	12618	2987
566	12641	2965
567	12659	2942
568	12678	2918
569	12695	2895
570	12719	2873
571	12740	2851
572	12765	2829
573	12783	2806
574	12803	2783
575	12835	2763
576	12853	2739
577	12875	2717
578	12897	2695
579	12915	2672
580	12935	2649
581	12957	2627
582	12977	2604
583	12999	2582
584	13021	2559
585	13045	2537
586	13066	2515
587	13091	2493
588	13118	2472
589	13147	2451
590	13168	2428
591	13193	2406
592	13218	2385
593	13245	2363
594	13267	2341
595	13285	2318
596	13305	2295
597	13322	2272
598	13345	2250
599	13365	2227
600	13387	2205
601	13410	2183
602	13435	2161
603	13455	2138
604	13478	2116
605	13500	2094
606	13525	2072
607	13553	2050
608	13577	2028
609	13597	2006
610	13624	1984
611	13646	1962
612	13671	1940
613	13690	1917
614	13712	1895
615	13731	1872
616	13757	1850
617	13776	1827
618	13798	1805
619	13820	1783
620	13843	1761
621	13862	1738
622	13880	1715
623	13902	1693
624	13921	1670
625	13941	1648
626	13959	1625
627	13978	1602
628	13995	1579
629	14022	1558
630	14041	1535
631	14062	1513
632	14086	1490
633	14105	1468
634	14126	1446
635	14145	1423
636	14169	1401
637	14187	1378
638	14206	1356
639	14228	1333
640	14246	1311
641	14270	1289
642	14293	1267
643	14314	1244
644	14339	1222
645	14359	1200
646	14382	1178
647	14406	1156
648	14433	1134
649	14456	1112
650	14473	1089
651	14495	1067
652	14514	1044
653	14533	1022
654	14554	999
655	14573	977
656	14599	955
657	14622	933
658	14643	911
659	14665	888
660	14686	866
661	14709	844
662	14728	821
663	14750	799
664	14769	777
665	14793	755
666	14816	733
667	14838	710
668	14858	688
669	14882	666
670	14901	644
671	14922	621
672	14942	599
673	14965	577
674	14984	554
675	15017	533
676	15044	511
677	15069	488
